Site,Target,MAE,RMSE,R2,Bias
site_1,O3_target,1.9812033425049125,5.0174412787868015,0.9664971982326214,-0.3138575650945437
site_1,NO2_target,4.49330673848736,8.534788536706458,0.8978144213806034,-0.5720177972326256
site_2,O3_target,3.0935467933537897,5.678328485498662,0.9545950301382025,0.16243696640258715
site_2,NO2_target,3.680418344381159,6.05145602938866,0.9247986180210044,-0.11410287472204245
site_3,O3_target,4.947988177527571,8.288617474006532,0.9539563692185168,-0.09141563347073206
site_3,NO2_target,4.688059691021354,7.199984076836857,0.9409201510638997,0.6834992784188185
site_4,O3_target,4.1340480101816945,6.947088103273345,0.9659944085507334,-0.4667309734152853
site_4,NO2_target,3.461248688137918,5.4155474289496315,0.9178468193186142,0.28371230969459194
site_5,O3_target,3.851820963730549,6.397622471595942,0.9637972034565739,-0.6304176756275812
site_5,NO2_target,6.245202645673242,11.47556410369607,0.9224384199388562,-0.7311884396036245
site_6,O3_target,7.063483291940457,15.025275480050166,0.8316763187347019,-2.562890343512594
site_6,NO2_target,4.512400201195508,8.502770878394342,0.857158709279123,-1.0715418912501469
site_7,O3_target,4.157247271881971,6.9472754880454985,0.9616257195577316,0.04125343220020707
site_7,NO2_target,3.1020403046881437,5.33587930720715,0.9280526439682214,-0.23346364369368297
